brand,model,year,miles,used_car_price,past_owners,accident_reported,exterior,interior,msrp_car_price
mercedes-benz,gle,2021,23303,42991,1,0,Silver,Beige,73775.455
subaru,outback,2023,5688,34600,1,0,Silver,Gray,29622.25
subaru,forester,2020,30962,24998,1,0,Black,Gray,27336.667
hyundai,elantra,2012,135320,6500,3,0,Red,Black,20437.5
mercedes-benz,gla,2020,72921,19495,1,1,Black,Black,38564.444
buick,enclave,2023,10581,47000,1,0,White,Black,45054.667
toyota,prius,2022,28082,22500,1,1,Black,Black,26908.611
toyota,tacoma,2019,27160,33998,1,1,Gray,Black,30318.438
subaru,outback,2020,49318,23998,1,1,Silver,Gray,29622.25
kia,optima,2020,41053,22998,2,0,White,Black,27312.353
toyota,rav4,2021,62673,23993,1,0,Black,Gray,28789.167
bmw,x3,2020,61144,22100,1,0,Black,Black,42237.5
audi,a3,2023,615,34995,1,0,Black,Black,38652.128
bmw,x3,2021,25621,29498,1,0,Black,Black,42237.5
toyota,corolla,2021,63421,18693,1,0,Silver,Black,20221.176
bmw,3 series,2021,7800,30999,1,0,Gray,Beige,40897.059
bmw,3 series,2015,117179,7695,4,0,Black,Black,40897.059
nissan,maxima,2018,43047,21998,2,0,Red,Beige,35799.167
bmw,5 series,2023,6776,69999,1,0,Black,Black,58306.25
audi,q5,2022,10969,36993,1,0,Silver,Gray,48255.0
toyota,rav4,2021,44447,25795,1,0,Gray,Black,28789.167
dodge,charger,2019,129303,13999,2,0,White,Black,38835.714
mercedes-benz,c-class,2020,19543,26889,1,0,Silver,Beige,49298.378
mercedes-benz,gle,2017,52826,23499,3,1,Black,Black,73775.455
bmw,4 series,2021,48855,40497,1,0,White,Red,48984.483
mazda,6,2016,86686,16998,2,1,White,Black,24761.333
subaru,crosstrek,2021,41707,24991,1,0,Silver,Black,24175.0
mercedes-benz,glc,2021,28374,29933,1,0,White,Black,40050.0
subaru,forester,2017,62567,17889,2,1,Gray,Gray,27336.667
nissan,frontier,2022,12232,26988,1,0,White,Black,27461.711
toyota,prius,2013,131525,10895,2,1,White,Gray,26908.611
honda,civic,2012,124873,8995,4,1,Gray,Gray,22517.941
bmw,x5,2020,27051,37498,2,0,Gray,Black,60308.333
audi,a5,2023,6091,36462,1,0,Black,Black,44300.0
honda,accord,2020,35882,25498,1,1,Gray,Black,27886.067
subaru,outback,2023,8474,34600,1,0,White,Gray,29622.25
volvo,xc90,2021,28560,38994,1,0,Gray,Black,50794.118
bmw,x5,2022,17842,43988,1,0,Black,Black,60308.333
bmw,x5,2013,103297,11995,1,0,Silver,Black,60308.333
honda,civic,2020,46571,17495,2,0,Red,Black,22517.941
fiat,124 spider,2017,48992,16200,2,0,Gray,Black,26895.0
dodge,charger,2018,105394,18998,2,0,White,Black,38835.714
acura,rdx,2020,41508,24689,1,0,Black,Black,39232.5
audi,a3,2023,2235,33995,1,0,Black,Black,38652.128
mercedes-benz,e-class,2020,38110,32595,3,0,Silver,Black,61857.143
subaru,impreza,2015,80234,14998,2,0,Blue,Black,21168.529
honda,accord,2022,31454,24987,1,0,White,Black,27886.067
ford,f-150,2023,198,59988,1,0,Gray,Black,40747.048
honda,accord,2021,68744,24493,1,0,White,Black,27886.067
ford,f-150,2022,7383,41563,1,0,Gray,Black,40747.048
chevrolet,malibu,2022,43257,17400,1,0,Silver,Black,25704.737
chevrolet,corvette,2014,42423,41998,1,0,Black,Black,71505.333
acura,mdx,2017,113292,19998,1,0,White,Black,50332.059
toyota,rav4,2021,62935,22998,1,1,Black,Black,28789.167
audi,a3,2023,2110,32995,1,0,White,Beige,38652.128
bmw,3 series,2016,75635,16998,1,0,White,Black,40897.059
honda,civic,2017,26208,23998,1,0,Gray,Black,22517.941
hyundai,sonata,2019,38199,18998,1,1,Black,Black,25707.639
volkswagen,tiguan,2015,71416,15998,3,0,Tan,Black,31650.962
honda,civic,2022,28188,26998,1,0,White,Black,22517.941
chevrolet,equinox,2020,47370,19998,3,0,Black,Gray,27577.391
honda,fit,2015,84457,14998,2,1,Red,Black,18338.333
toyota,4runner,2019,45870,29998,1,1,Black,Black,38221.346
hyundai,elantra,2020,41417,18998,1,0,White,Black,20437.5
honda,civic,2017,23045,22998,1,1,Black,Black,22517.941
bmw,m6,2014,43936,36998,2,0,Black,Black,116150.0
mercedes-benz,c-class,2023,9779,40777,1,0,Gray,Black,49298.378
kia,forte,2021,26203,16995,1,0,Black,Black,19895.0
honda,civic,2012,126639,8995,2,0,Black,Gray,22517.941
honda,odyssey,2020,22045,32781,1,0,Silver,Gray,36879.0
dodge,challenger,2012,112067,16750,2,0,Black,Gray,39230.455
chevrolet,tahoe,2023,3924,64150,1,0,Blue,Black,54972.222
mercedes-benz,glc,2021,11858,31933,1,0,White,Beige,40050.0
bmw,m5,2007,119568,16400,5,1,Silver,Gray,93533.333
honda,pilot,2021,30283,31187,1,1,Black,Black,36904.167
toyota,tacoma,2022,18137,33520,1,0,White,Gray,30318.438
audi,q5,2020,24359,30855,1,1,Gray,Black,48255.0
mercedes-benz,c-class,2019,46446,22000,2,0,Blue,Beige,49298.378
audi,q3,2020,24398,25725,1,0,Blue,Brown,36292.857
bmw,3 series,2013,56891,17998,1,0,Gold,Black,40897.059
mercedes-benz,e-class,2020,22338,43014,1,1,Gray,Black,61857.143
kia,sedona,2016,122368,13998,1,0,Silver,Gray,32976.667
toyota,corolla,2021,66531,18694,1,0,Red,Black,20221.176
subaru,crosstrek,2021,34129,24499,1,0,Black,Black,24175.0
mercedes-benz,glc,2019,33933,26888,2,0,Black,Black,40050.0
mazda,cx-5,2021,62203,21888,1,0,Silver,Black,25403.966
audi,a5,2023,2077,37998,1,0,Black,Black,44300.0
toyota,camry,2015,84982,16998,1,0,White,Black,26952.895
toyota,rav4,2017,96286,16888,2,0,Black,Black,28789.167
ford,f-150,2021,62048,40678,1,1,Silver,Black,40747.048
chevrolet,equinox,2018,46513,14987,1,1,Silver,Black,27577.391
toyota,tacoma,2020,28772,34998,1,0,Black,Gray,30318.438
chevrolet,malibu,2022,36428,18998,1,0,White,Gray,25704.737
toyota,highlander,2020,18999,33998,1,1,Gray,Gray,37219.773
toyota,camry,2019,37498,23998,1,1,White,Black,26952.895
hyundai,santa fe,2020,34444,25998,1,0,Blue,Black,35030.556
dodge,grand caravan,2019,54821,20998,2,0,White,Black,27101.25
chevrolet,corvette,2023,2088,93000,1,0,Silver,Black,71505.333
toyota,tacoma,2021,22721,31000,1,1,Gray,Gray,30318.438
toyota,corolla,2021,63321,18794,1,1,White,Gray,20221.176
toyota,corolla,2022,17868,20299,1,0,Black,Black,20221.176
mercedes-benz,gla,2022,6097,32666,1,0,White,Beige,38564.444
toyota,corolla,2022,33868,17593,1,0,White,Black,20221.176
ford,escape,2022,36066,20799,1,0,Gray,Gray,27458.667
audi,q5,2022,11651,33497,2,0,Gray,Gray,48255.0
kia,forte,2020,96157,10995,3,0,Gray,Black,19895.0
bmw,x5,2012,101835,10400,2,0,Silver,Black,60308.333
toyota,camry,2020,25298,29999,1,0,White,Red,26952.895
kia,optima,2019,55465,17998,4,1,Silver,Black,27312.353
infiniti,q50,2020,27926,28400,1,0,Black,Gray,43130.556
ford,escape,2020,36158,16988,1,0,Gray,Gray,27458.667
mercedes-benz,glc,2023,4202,50838,1,0,Blue,Black,40050.0
subaru,outback,2024,5699,34800,1,0,Silver,Gray,29622.25
toyota,tacoma,2013,111951,22250,1,1,Black,Gray,30318.438
volvo,xc90,2020,55536,43163,1,0,White,Beige,50794.118
nissan,titan,2017,50920,30998,1,0,Black,Black,37958.0
toyota,rav4,2019,16985,28599,1,0,Silver,Gray,28789.167
toyota,prius,2015,94528,16998,1,1,Gray,Gray,26908.611
toyota,highlander,2021,57404,32555,1,0,Blue,Red,37219.773
subaru,forester,2021,43610,25099,1,0,Blue,Gray,27336.667
ford,f-150,2021,44974,35998,1,0,White,Gray,40747.048
ford,f-150,2019,44978,30795,1,0,Black,Black,40747.048
nissan,versa,2022,54626,13950,1,0,Black,Black,14660.625
subaru,forester,2021,17357,28299,1,0,Black,Brown,27336.667
toyota,rav4,2021,34135,25727,1,0,Black,Gray,28789.167
subaru,outback,2022,25164,29474,1,0,Gray,Gray,29622.25
chrysler,200,2015,110746,9495,3,0,Black,Black,26582.174
ford,explorer,2021,42808,36500,1,0,White,Black,38451.304
volkswagen,jetta,2016,121571,7885,3,1,Gray,Black,23953.525
chevrolet,tahoe,2016,95699,23887,2,0,Silver,Black,54972.222
chevrolet,corvette,2021,6537,82150,1,0,Yellow,Black,71505.333
mercedes-benz,gla,2021,26991,29649,1,1,White,Black,38564.444
audi,q3,2018,21714,21499,1,0,White,Black,36292.857
mercedes-benz,cla,2014,58783,16999,1,0,White,Black,38427.778
mercedes-benz,c-class,2020,37120,28222,2,0,Silver,Black,49298.378
toyota,corolla,2020,29126,19497,2,1,White,Black,20221.176
chevrolet,silverado 1500,2021,104561,31998,3,1,White,Black,38876.218
audi,a3,2023,1193,32995,1,0,Black,Black,38652.128
kia,soul,2015,74267,8476,3,1,Gray,Black,18046.667
bmw,x1,2015,115152,11495,2,1,Black,Brown,34383.333
ford,explorer,2021,9876,31486,1,0,White,Gray,38451.304
subaru,impreza,2020,28266,21620,1,0,White,Black,21168.529
dodge,challenger,2015,26780,46988,2,1,Black,Black,39230.455
mercedes-benz,glc,2021,25690,32904,1,0,White,Beige,40050.0
kia,forte,2021,15084,17995,1,0,Black,Black,19895.0
ford,explorer,2021,17691,31998,1,0,Black,Black,38451.304
subaru,outback,2024,6202,34800,1,0,White,Beige,29622.25
aston martin,db9,2008,20938,40900,4,0,Black,Black,196522.5
hyundai,santa fe,2023,32148,21800,1,0,White,Black,35030.556
toyota,camry,2020,39362,21222,1,0,Black,Black,26952.895
volkswagen,jetta,2017,114015,11495,2,1,Black,Black,23953.525
mercedes-benz,c-class,2017,56536,18995,2,0,White,Beige,49298.378
bmw,x3,2022,6316,36499,1,0,Black,Brown,42237.5
cadillac,escalade,2023,13889,89991,1,0,Gray,Black,81037.333
bmw,x3,2021,59945,25998,1,0,White,Black,42237.5
audi,r8,2012,33944,88000,4,0,Black,Black,158819.6
toyota,tacoma,2017,62689,29333,1,1,Silver,Gray,30318.438
toyota,tacoma,2019,117204,19999,1,1,White,Gray,30318.438
mercedes-benz,c-class,2023,7499,39777,1,0,Black,Black,49298.378
chevrolet,malibu,2022,16331,19991,1,0,Gray,Black,25704.737
subaru,legacy,2023,5293,23999,1,0,White,Gray,25370.789
mercedes-benz,m-class,2012,130708,8991,2,0,White,Gray,61332.0
honda,civic,2018,72905,14500,3,0,White,Beige,22517.941
hyundai,sonata,2013,85653,8995,2,0,Gray,Gray,25707.639
chrysler,300,2021,61474,22621,1,0,White,Black,38134.333
toyota,tundra,2023,6478,61333,1,0,Blue,Black,37844.25
audi,q5,2020,15503,29999,1,0,Black,Black,48255.0
chevrolet,trailblazer,2021,40743,19888,1,0,Black,Black,31843.0
ford,fusion,2020,42121,16308,1,0,Black,Black,28807.941
kia,soul,2018,52817,11995,3,0,Gray,Black,18046.667
kia,forte,2023,12459,19991,1,0,Gray,Black,19895.0
mercedes-benz,gla,2021,32130,29419,1,0,Gray,Black,38564.444
acura,mdx,2020,17913,31498,1,0,Black,Black,50332.059
honda,civic,2015,116519,9499,4,1,Silver,Gray,22517.941
mercedes-benz,slk,2012,66614,17999,2,0,Black,Black,57769.444
chevrolet,malibu,2017,96583,11999,2,1,White,Black,25704.737
dodge,grand caravan,2017,124407,8995,2,0,Black,Black,27101.25
cadillac,cts,2004,175440,4966,4,1,White,Beige,56959.762
dodge,journey,2018,73637,10999,1,0,Black,Black,28165.968
honda,cr-v,2019,27490,24063,1,0,Gray,Black,27968.438
honda,cr-v,2021,51693,24300,1,0,Black,Gray,27968.438
subaru,outback,2023,5011,35300,1,0,White,Gray,29622.25
mercedes-benz,c-class,2021,21123,28998,1,1,Gray,Black,49298.378
toyota,corolla,2021,64006,18985,1,0,White,Gray,20221.176
toyota,rav4,2018,54264,19555,0,0,White,Black,28789.167
hyundai,sonata,2016,89315,13998,2,1,Silver,Gray,25707.639
honda,cr-v,2018,54900,22998,1,0,Gray,Black,27968.438
toyota,rav4,2013,61283,19998,3,1,Blue,Gray,28789.167
honda,cr-v,2020,35038,27906,1,0,Gray,Black,27968.438
cadillac,escalade,2015,106871,26599,4,1,Black,Brown,81037.333
toyota,corolla,2015,124202,9991,3,1,White,Gray,20221.176
bmw,x5,2021,25347,42999,1,0,Blue,Black,60308.333
dodge,charger,2013,119000,8988,5,1,Black,Black,38835.714
toyota,rav4,2021,41484,36998,1,0,Red,Brown,28789.167
toyota,corolla,2022,18666,20943,1,0,Black,Black,20221.176
chevrolet,tahoe,2011,105208,15995,3,1,Black,Black,54972.222
toyota,rav4,2021,21406,26675,1,0,White,Black,28789.167
chevrolet,silverado 1500,2021,59728,35995,1,0,Gray,Black,38876.218
kia,soul,2021,94094,13495,1,0,Silver,Black,18046.667
toyota,camry,2020,93239,18218,1,1,Silver,Black,26952.895
toyota,prius prime,2021,32835,26498,1,0,Gray,Black,29666.667
ford,expedition,2020,88416,33998,3,0,Silver,Black,56883.361
chevrolet,silverado 1500,2022,17657,25998,1,0,White,Black,38876.218
toyota,rav4,2022,30244,24499,1,0,White,Black,28789.167
toyota,corolla,2019,103363,12999,1,0,Red,Black,20221.176
honda,civic,2018,40171,17495,1,1,Gray,Gray,22517.941
subaru,forester,2021,24736,22679,1,0,Silver,Black,27336.667
mercedes-benz,gle,2020,80559,31888,1,0,Silver,Black,73775.455
toyota,corolla,2018,116630,12999,2,1,White,Black,20221.176
audi,a3,2018,78782,15898,1,1,Gray,Black,38652.128
honda,hr-v,2021,18696,23598,1,0,Silver,Gray,22315.0
toyota,corolla,2021,69530,17993,1,0,Silver,Black,20221.176
bmw,x5,2021,22220,42997,1,0,Black,Black,60308.333
cadillac,xt5,2019,45232,20094,1,0,White,Beige,50010.833
toyota,camry,2020,23599,20555,1,0,Gray,Black,26952.895
subaru,crosstrek,2021,33559,25988,1,1,Gray,Gray,24175.0
audi,q3,2020,25933,29998,1,0,Black,Gray,36292.857
nissan,versa,2021,64534,15681,1,0,Silver,Gray,14660.625
honda,hr-v,2022,11770,22222,1,0,Silver,Gray,22315.0
toyota,tacoma,2021,38015,31400,2,1,White,Gray,30318.438
audi,q5,2020,22534,31888,1,0,Gray,Black,48255.0
ford,mustang,2017,90843,18998,3,0,Black,Black,32520.625
audi,a7,2016,42396,28998,3,0,White,Black,69895.0
audi,a3,2023,3573,32995,1,0,Black,Black,38652.128
toyota,prius,2006,193000,5991,2,1,Blue,Beige,26908.611
acura,ilx,2020,29094,20998,1,1,Gray,Black,30712.5
subaru,forester,2015,13366,18100,1,0,White,Gray,27336.667
honda,cr-z,2015,75078,16998,4,0,Blue,Black,22288.889
honda,odyssey,2014,77259,21998,1,0,Gray,Gray,36879.0
toyota,prius,2012,103487,10999,2,0,Silver,Gray,26908.611
kia,forte,2017,52456,12495,2,0,Black,Black,19895.0
porsche,macan,2018,38205,32295,4,0,Black,Black,61725.0
bmw,4 series,2021,17815,43496,1,0,Blue,Black,48984.483
mercedes-benz,c-class,2021,30521,30560,1,0,Silver,Gray,49298.378
chevrolet,tahoe,2017,39702,34998,1,0,White,Black,54972.222
nissan,altima,2021,61705,17888,1,0,Black,Black,26956.25
bmw,x3,2021,10245,43999,1,0,White,Black,42237.5
bmw,x5,2020,43907,33994,1,0,Gray,Brown,60308.333
honda,civic,2017,78540,19998,3,0,White,Black,22517.941
chevrolet,malibu,2020,46172,16998,1,0,Black,Black,25704.737
ford,ranger,2019,77267,19876,1,0,Silver,Black,21340.135
gmc,yukon,2016,99882,21999,1,0,Silver,Black,58270.556
mercedes-benz,e-class,2015,94434,17495,2,0,Silver,Black,61857.143
volkswagen,tiguan,2021,41030,18999,1,0,Gray,Black,31650.962
mercedes-benz,glc,2021,25030,29933,1,1,Gray,Black,40050.0
ford,escape,2021,13758,21995,1,0,Gray,Gray,27458.667
chevrolet,malibu,2022,32265,19998,1,0,Silver,Black,25704.737
bmw,3 series,2020,61362,22200,1,0,Black,Beige,40897.059
audi,a3,2023,1008,32995,1,0,Black,Black,38652.128
bmw,3 series,2011,110377,6998,2,1,White,Beige,40897.059
subaru,crosstrek,2020,43420,24499,1,1,Black,Black,24175.0
kia,forte,2021,27187,19995,1,0,White,Black,19895.0
ford,f-150,2020,63997,31996,1,0,Black,Black,40747.048
bmw,x5,2012,88752,14995,2,0,White,Black,60308.333
honda,civic,2019,64566,17084,2,1,Black,Black,22517.941
bmw,5 series,2014,122649,11995,3,1,Black,Black,58306.25
mercedes-benz,gla,2021,35810,29701,1,0,White,Black,38564.444
audi,q7,2023,10322,58957,1,0,White,Black,57373.333
audi,a8,2013,51583,17499,2,1,White,Black,94850.0
toyota,corolla,2021,29919,20995,1,0,Black,Black,20221.176
subaru,crosstrek,2021,34409,25100,1,0,White,Black,24175.0
honda,accord,2016,96250,18998,1,1,Black,Black,27886.067
chevrolet,silverado 1500,2013,70971,24998,4,0,Black,Black,38876.218
honda,accord,2017,38252,22998,2,0,Black,Black,27886.067
honda,odyssey,2015,125578,16998,2,0,Gray,Gray,36879.0
audi,a4,2015,53259,17998,3,0,Blue,Black,39752.0
ford,edge,2022,43221,26995,1,0,Black,Black,34236.818
bmw,x3,2021,20466,30763,1,0,Black,Black,42237.5
dodge,charger,2020,60196,19670,1,0,White,Black,38835.714
bmw,x3,2021,21749,30999,1,0,White,Beige,42237.5
mercedes-benz,c-class,2023,4741,44764,1,0,White,Beige,49298.378
ford,escape,2016,111113,9995,2,0,Gray,Gray,27458.667
mercedes-benz,gls,2020,69631,44992,1,0,White,Black,95550.0
kia,optima,2019,20602,19999,1,0,White,Black,27312.353
bmw,3 series,2016,101891,11995,2,0,Black,Beige,40897.059
ford,f-150,2021,37193,34998,2,1,Black,Gray,40747.048
toyota,corolla,2021,37728,20650,1,0,Black,Black,20221.176
bmw,x3,2021,9620,43988,1,0,White,Black,42237.5
toyota,camry,2016,106742,13778,2,0,Black,Black,26952.895
kia,optima,2013,106382,8995,2,1,White,Beige,27312.353
hyundai,accent,2013,106238,10998,3,1,Brown,Beige,15911.667
mercedes-benz,c-class,2017,39640,18995,2,1,Black,Beige,49298.378
kia,soul,2021,62355,14955,1,0,Gray,Black,18046.667
toyota,corolla,2021,21135,20998,1,0,Gray,Gray,20221.176
mercedes-benz,gle,2021,33266,63814,1,0,White,Black,73775.455
subaru,crosstrek,2024,1301,26741,1,0,White,Black,24175.0
toyota,camry,2020,45702,21986,1,0,Black,Black,26952.895
kia,forte,2020,60231,13900,2,0,Black,Black,19895.0
toyota,rav4,2021,92984,29200,1,0,Gray,Black,28789.167
toyota,corolla,2017,78733,13991,1,1,White,Black,20221.176
kia,forte,2021,22450,17998,1,1,White,Black,19895.0
subaru,brz,2022,21000,28998,2,0,Red,Black,27685.833
subaru,crosstrek,2022,39427,23300,1,0,White,Gray,24175.0
subaru,wrx,2016,43959,21998,1,0,Blue,Black,32863.0
subaru,crosstrek,2018,71542,21998,3,0,Blue,Gray,24175.0
volkswagen,jetta,2019,32759,16765,2,1,Gray,Black,23953.525
chevrolet,malibu,2017,79894,13990,2,1,Gray,Gray,25704.737
honda,accord,2019,40673,17991,1,1,Gray,Gray,27886.067
bmw,x5,2019,19417,43998,1,0,White,Black,60308.333
maserati,levante,2019,22529,32000,1,1,Black,Black,77500.0
toyota,highlander,2021,40088,39486,1,0,Gray,Gray,37219.773
mercedes-benz,c-class,2023,6315,44868,1,0,White,Black,49298.378
nissan,armada,2021,63487,25684,1,0,Silver,Black,48204.0
honda,civic,2023,9562,25639,1,0,Red,Black,22517.941
toyota,tacoma,2022,8097,39991,1,0,Silver,Black,30318.438
nissan,sentra,2021,23023,18278,1,0,Red,Beige,19146.842
gmc,sierra 1500,2017,79434,26987,1,0,Gray,Black,40312.111
ford,focus,2016,83009,17998,2,1,Gray,Black,21790.5
subaru,outback,2023,7345,34900,1,0,White,Gray,29622.25
bmw,x3,2021,24706,28999,1,0,Blue,Black,42237.5
honda,cr-v,2012,91988,12495,1,0,Black,Gray,27968.438
toyota,camry,2023,19660,23935,1,0,Gray,Black,26952.895
toyota,highlander,2021,34955,33994,1,0,White,Gray,37219.773
ford,explorer,2016,72635,18998,1,0,Silver,Beige,38451.304
bmw,6 series,2016,83633,22750,2,1,Black,Black,87933.333
subaru,outback,2023,5618,37500,1,0,White,Gray,29622.25
toyota,corolla,2021,74064,17994,1,1,Red,Black,20221.176
nissan,rogue,2021,10868,23991,1,0,Red,Black,26121.0
volvo,v60,2020,45016,32598,1,0,Gray,Black,42403.333
audi,q7,2023,8581,51623,1,0,Black,Black,57373.333
cadillac,cts,2016,97626,14900,3,1,White,Beige,56959.762
honda,accord,2021,43043,25981,1,0,Gray,Black,27886.067
mercedes-benz,gl,2011,88997,10988,3,0,Black,Black,84225.833
mercedes-benz,cla,2019,54727,19999,2,0,Black,Black,38427.778
mercedes-benz,cla,2023,7023,37777,1,0,White,Black,38427.778
ford,f-150,2021,49171,29998,1,0,White,Gray,40747.048
audi,a3,2020,35165,24998,1,1,White,Black,38652.128
ford,fusion,2020,41553,19995,1,0,Black,Black,28807.941
bmw,5 series,2016,73181,14999,3,0,Silver,Beige,58306.25
kia,forte,2022,31031,18500,1,0,White,Black,19895.0
subaru,forester,2022,4681,28948,1,0,Red,Gray,27336.667
toyota,4runner,2021,14683,44998,1,0,Black,Brown,38221.346
toyota,tacoma,2023,21953,36998,1,0,Silver,Black,30318.438
bmw,x5,2020,50716,35998,1,1,White,Black,60308.333
subaru,outback,2020,25038,28998,1,0,Gray,Gray,29622.25
chevrolet,trailblazer,2022,47162,23998,2,0,White,Black,31843.0
hyundai,sonata,2015,96880,13998,1,1,Silver,Gray,25707.639
nissan,altima,2019,88155,14450,3,0,White,Black,26956.25
toyota,corolla,2021,7500,21222,1,0,Red,Black,20221.176
honda,odyssey,2015,124418,18998,2,0,Gray,Gray,36879.0
toyota,camry,2020,43228,20483,1,0,Silver,Black,26952.895
audi,a6,2023,5801,47998,1,0,Gray,Black,54673.913
chevrolet,silverado 1500,2016,93925,26988,2,0,White,Black,38876.218
ford,explorer sport trac,2009,180254,7995,7,0,Black,Black,30261.111
bmw,x3,2021,26725,28888,1,0,Black,Black,42237.5
honda,civic,2019,39515,19770,1,1,Gray,Gray,22517.941
honda,odyssey,2019,49419,26581,3,0,Silver,Brown,36879.0
honda,accord,2022,29649,24799,1,0,Silver,Black,27886.067
nissan,altima,2014,129009,8895,2,1,White,Black,26956.25
subaru,outback,2021,14417,27998,1,0,Red,Gray,29622.25
honda,odyssey,2014,112998,15998,2,1,Gray,Gray,36879.0
genesis,g80,2022,19964,37449,1,0,Silver,Black,46616.667
ford,focus,2014,105879,7798,3,1,Red,White,21790.5
chevrolet,suburban,2015,225260,12999,1,1,Black,Black,57672.222
toyota,corolla,2011,93687,8500,1,1,Black,Gray,20221.176
volkswagen,tiguan,2019,47154,19998,2,0,White,Gray,31650.962
kia,optima,2018,59244,12900,2,1,White,Beige,27312.353
subaru,forester,2021,10044,26986,1,0,Silver,Black,27336.667
honda,accord,2021,20810,27998,2,0,Silver,Black,27886.067
hyundai,sonata,2012,109989,11998,3,0,Black,Gray,25707.639
kia,optima,2013,112562,8495,3,0,Black,Beige,27312.353
chevrolet,camaro,2014,103796,9499,1,0,Black,Black,38991.667
mercedes-benz,c-class,2023,5761,54991,1,0,Blue,Black,49298.378
honda,accord,2020,36197,22991,2,1,Black,Black,27886.067
chevrolet,trailblazer,2021,12301,18200,1,0,White,Black,31843.0
volkswagen,tiguan,2020,39395,18500,1,0,White,Black,31650.962
mercedes-benz,gla,2018,79753,16500,4,0,Black,Black,38564.444
subaru,outback,2021,19989,25800,2,0,Green,Gray,29622.25
kia,forte,2021,26840,17449,1,0,Gray,Black,19895.0
toyota,corolla,2022,4514,20683,1,0,Gray,Gray,20221.176
fiat,500,2014,82005,6995,4,1,Silver,Black,20449.821
subaru,outback,2023,4980,35900,1,0,White,Beige,29622.25
nissan,maxima,2018,33292,18450,3,1,Gray,Black,35799.167
toyota,tacoma,2022,36648,38900,2,0,Black,Black,30318.438
bmw,3 series,2018,44001,20999,3,0,Black,Black,40897.059
ford,f-150,2018,75393,33800,1,0,Silver,Gray,40747.048
chevrolet,equinox,2021,12663,20777,1,0,White,Gray,27577.391
audi,rs 5,2021,9215,66900,2,0,Gray,Black,74066.667
kia,optima,2015,146100,7500,3,0,Black,Beige,27312.353
ford,f-150,2020,111937,16975,1,0,White,Blue,40747.048
audi,q7,2023,6411,54980,1,0,White,Black,57373.333
bmw,3 series,2020,42725,24198,1,0,Black,Black,40897.059
audi,q5,2023,1581,37989,1,0,Black,Black,48255.0
nissan,altima,2012,115439,4395,7,0,Silver,Black,26956.25
kia,sportage,2021,26871,17800,1,0,Red,Gray,26725.556
mazda,cx-9,2021,38324,28691,1,1,Gray,Red,34961.842
mercedes-benz,gle,2021,44380,43829,1,0,Black,Black,73775.455
ford,f-150,2020,36590,33998,1,0,Gray,Gray,40747.048
mazda,cx-5,2022,6242,28891,1,1,Red,Black,25403.966
dodge,charger,2019,71018,20959,3,0,Black,Black,38835.714
mazda,cx-5,2023,8470,32998,1,0,Blue,Beige,25403.966
audi,q5,2020,13984,33888,1,0,White,Beige,48255.0
infiniti,q50,2020,55039,22597,2,1,Black,Gray,43130.556
chevrolet,cruze,2018,95458,10995,2,0,Silver,Black,20469.4
honda,civic,2022,51155,22500,1,0,Gray,Black,22517.941
subaru,impreza,2019,35495,18999,1,0,Black,Black,21168.529
volkswagen,jetta,2013,112519,6950,2,1,Silver,Black,23953.525
volkswagen,jetta,2015,91736,8995,4,1,Black,Black,23953.525
subaru,forester,2021,24454,26555,1,0,Green,Gray,27336.667
subaru,forester,2023,6290,33500,1,0,Silver,Black,27336.667
nissan,sentra,2021,9892,20998,1,0,White,Black,19146.842
toyota,corolla,2021,80771,17495,1,1,Blue,Black,20221.176
toyota,corolla,2011,101056,9991,2,0,White,Gray,20221.176
gmc,acadia,2019,62813,19500,1,1,Black,Black,40086.406
toyota,rav4,2020,43497,24991,1,0,White,Black,28789.167
toyota,corolla,2021,9762,22953,1,1,Gray,Black,20221.176
mercedes-benz,c-class,2021,15526,54499,2,0,Black,Black,49298.378
toyota,rav4,2021,40149,30999,1,0,White,Black,28789.167
toyota,rav4,2021,27228,26794,2,0,White,Black,28789.167
mazda,3,2019,13488,23074,1,0,Gray,Gray,22195.0
subaru,forester,2021,26650,28649,1,0,Gray,Black,27336.667
mercedes-benz,cla,2023,4086,39777,1,1,Black,Black,38427.778
audi,rs 5,2015,57150,33919,3,0,Black,Black,74066.667
ford,escape,2019,10838,20445,2,0,Gray,Black,27458.667
toyota,sienna,2021,44459,37895,1,1,Silver,Gray,37672.843
buick,encore,2019,21872,19998,2,0,White,Gray,27877.5
bmw,x5,2020,68463,43598,2,0,Blue,Black,60308.333
chrysler,town & country,2016,51756,18998,2,1,Silver,Black,35130.882
toyota,rav4,2021,23800,29333,1,0,Red,Black,28789.167
volkswagen,tiguan,2020,34893,17994,1,0,Black,Black,31650.962
toyota,corolla,2021,64606,15995,1,0,Red,Black,20221.176
toyota,camry,2021,41792,27081,1,0,Black,Black,26952.895
toyota,prius,2013,147350,11200,1,0,Black,Black,26908.611
mercedes-benz,e-class,2021,9624,42892,1,0,Red,Beige,61857.143
gmc,sierra 1500,2022,9641,70988,2,0,Black,White,40312.111
toyota,corolla,2014,106575,10999,1,0,Black,Gray,20221.176
acura,rdx,2021,43115,31968,1,0,Red,Black,39232.5
ford,escape,2017,114000,8490,2,1,Gold,Black,27458.667
audi,a3,2023,1529,32995,1,0,Blue,Black,38652.128
